ID,Song path,Lyrics path,Images path,Name,Singer,Album
1,E:\Song\Mới phát hành\ChiLaLuaDoi-ChiThien-6897277.mp3,E:\Lyrics\Mới phát hành\Chỉ Là Lừa Dối.txt,E:\Images\Mới phát hành\Chỉ Là Lừa Dối.jpg,Chỉ Là Lừa Dối,Chí Thiện,None
2,E:\Song\Mới phát hành\DeToiNgoiHatMotMinh-ThaiTuyetTram-6892712.mp3,E:\Lyrics\Mới phát hành\In Me.txt,E:\Images\Mới phát hành\In Me.jpg,Để Tôi Ngồi Hát Một Mình,Thái Tuyết Trâm,None
3,E:\Song\Mới phát hành\DoiVuiLamEmOi-X2X-6893322.mp3,E:\Lyrics\Mới phát hành\Níu Duyên.txt,E:\Images\Mới phát hành\Níu Duyên.jpg,Đời Vui Lắm Em Ơi,X2X,None
4,E:\Song\Mới phát hành\InMe-NangMinhNhut-6889294.mp3,E:\Lyrics\Mới phát hành\Nỗi Nhớ.txt,E:\Images\Mới phát hành\Nỗi Nhớ.jpg,In Me,Nắng (Minh Nhựt),None
5,E:\Song\Mới phát hành\NiuDuyen-LeBaoBinh-6872127.mp3,E:\Lyrics\Mới phát hành\Thương Anh.txt,E:\Images\Mới phát hành\Thương Anh.jpg,Níu Duyên,Lê Bảo Bình,None
6,E:\Song\Mới phát hành\NoiNho-ToNgocHa-6896921.mp3,E:\Lyrics\Mới phát hành\Yêu Đừng Sợ Đau.txt,E:\Images\Mới phát hành\Yêu Đừng Sợ Đau.jpg,Nỗi Nhớ,Tô Ngọc Hà,None
7,E:\Song\Mới phát hành\ThuongAnh-TrangYueBRay-6895235.mp3,E:\Lyrics\Mới phát hành\Để Tôi Ngồi Hát Một Mình.txt,E:\Images\Mới phát hành\Để Tôi Ngồi Hát Một Mình.png,Thương Anh,"Trang Yue, B Ray",None
8,E:\Song\Mới phát hành\YeuDungSoDau-NgoLanHuong-6898216.mp3,E:\Lyrics\Mới phát hành\Đời Vui Lắm Em Ơi.txt,E:\Images\Mới phát hành\Đời Vui Lắm Em Ơi.jpg,Yêu Đừng Sợ Đau,Ngô Lan Hương,None
